cellId	taskId	executor	launchTime	duration	size	records	appId	stageId
2	50370	mr-03:5	2021/05/06 21:47:11	30	0	0	application_1615435002078_0444	10
13	50381	mr-03:5	2021/05/06 21:47:11	30	0	0	application_1615435002078_0444	10
35	50403	mr-03:5	2021/05/06 21:47:11	30	0	0	application_1615435002078_0444	10
90	50458	mr-03:5	2021/05/06 21:47:11	30	0	0	application_1615435002078_0444	10
25	50390	mr-12:8	2021/05/06 21:47:11	30	0	0	application_1615435002078_0444	10
14	50379	mr-12:8	2021/05/06 21:47:11	30	0	0	application_1615435002078_0444	10
36	50401	mr-12:8	2021/05/06 21:47:11	30	0	0	application_1615435002078_0444	10
80	50445	mr-12:8	2021/05/06 21:47:11	30	0	0	application_1615435002078_0444	10
69	50434	mr-12:8	2021/05/06 21:47:11	30	0	0	application_1615435002078_0444	10
91	50456	mr-12:8	2021/05/06 21:47:11	30	0	0	application_1615435002078_0444	10
89	50457	mr-05:9	2021/05/06 21:47:11	28	0	0	application_1615435002078_0444	10
31	50386	mr-08:11	2021/05/06 21:47:11	26	7400000	1	application_1615435002078_0444	10
78	50446	mr-05:9	2021/05/06 21:47:11	25	8600000	7375	application_1615435002078_0444	10
56	50424	mr-05:9	2021/05/06 21:47:11	25	8700000	7481	application_1615435002078_0444	10
64	50419	mr-08:11	2021/05/06 21:47:11	24	3700000	1	application_1615435002078_0444	10
12	50380	mr-05:9	2021/05/06 21:47:11	18	4099999.9999999995	3570	application_1615435002078_0444	10
67	50435	mr-05:9	2021/05/06 21:47:11	18	3500000	3129	application_1615435002078_0444	10
58	50423	mr-12:8	2021/05/06 21:47:11	18	4099999.9999999995	1	application_1615435002078_0444	10
47	50412	mr-12:8	2021/05/06 21:47:11	17	3700000	1	application_1615435002078_0444	10
23	50391	mr-05:9	2021/05/06 21:47:11	17	3400000	2910	application_1615435002078_0444	10
68	50436	mr-03:5	2021/05/06 21:47:11	17	3700000	1	application_1615435002078_0444	10
34	50402	mr-05:9	2021/05/06 21:47:11	16	605200	507	application_1615435002078_0444	10
1	50369	mr-05:9	2021/05/06 21:47:11	16	48	1	application_1615435002078_0444	10
45	50413	mr-05:9	2021/05/06 21:47:11	16	48	1	application_1615435002078_0444	10
9	50364	mr-08:11	2021/05/06 21:47:11	15	48	1	application_1615435002078_0444	10
24	50392	mr-03:5	2021/05/06 21:47:11	15	63400	1	application_1615435002078_0444	10
53	50408	mr-08:11	2021/05/06 21:47:11	15	48	1	application_1615435002078_0444	10
79	50447	mr-03:5	2021/05/06 21:47:11	15	71900	1	application_1615435002078_0444	10
46	50414	mr-03:5	2021/05/06 21:47:11	15	48	1	application_1615435002078_0444	10
3	50368	mr-12:8	2021/05/06 21:47:11	15	48	1	application_1615435002078_0444	10
127	50491	mr-03:5	2021/05/06 21:47:13	15	0	0	application_1615435002078_0444	10
4	50367	mr-07:10	2021/05/06 21:47:11	7	0	0	application_1615435002078_0444	10
26	50389	mr-07:10	2021/05/06 21:47:11	7	0	0	application_1615435002078_0444	10
15	50378	mr-07:10	2021/05/06 21:47:11	7	0	0	application_1615435002078_0444	10
